"final_triangle_info","triangle_population_info","triangle_area"
"coloradosprings","39.9123540830604","7.00209511705907e-06"
"coloradosprings","39.9123540830604","5.6890594350989e-06"
"coloradosprings","39.9123540830604","5.67279130336829e-06"
"coloradosprings","39.9123540830604","9.84834878181573e-06"
"coloradosprings","39.9123540830604","5.32212925463682e-06"
NA,"5.81338780279522",NA
"coloradosprings","39.9123540830604","5.97214602748863e-06"
"coloradosprings","39.9123540830604","5.96218433202012e-06"
"coloradosprings","39.9123540830604","6.45768250251422e-06"
"coloradosprings","39.9123540830604","7.61721094022505e-06"
"coloradosprings","39.9123540830604","9.09487152966904e-06"
"coloradosprings","39.9123540830604","5.69200892641675e-06"
"coloradosprings","39.9123540830604","5.90099170949543e-06"
"coloradosprings","39.9123540830604","4.25004782300675e-06"
NA,"5.81338780279522",NA
"coloradosprings","39.9123540830604","6.59178931528004e-06"
"coloradosprings","39.9123540830604","7.5202824518783e-06"
"coloradosprings","39.9123540830604","8.01896749180742e-06"
"coloradosprings","39.9123540830604","4.8036408770713e-06"
"coloradosprings","39.9123540830604","7.38676953915274e-06"
"coloradosprings","39.9123540830604","4.46909234597115e-06"
"coloradosprings","39.9123540830604","7.91284583101515e-06"
"coloradosprings","39.9123540830604","8.8041397248162e-06"
"coloradosprings","39.9123540830604","4.82794803247089e-06"
"coloradosprings","39.9123540830604","4.64181539427955e-06"
"coloradosprings","39.9123540830604","9.42890164878918e-06"
"coloradosprings","39.9123540830604","5.4590336731053e-06"
"coloradosprings","39.9123540830604","8.94747699931031e-06"
"coloradosprings","39.9123540830604","6.1176124290796e-06"
"coloradosprings","39.9123540830604","6.12728672422236e-06"
"coloradosprings","39.9123540830604","5.9501744544832e-06"
"coloradosprings","39.9123540830604","5.7257921071141e-06"
"coloradosprings","39.9123540830604","7.06282116880175e-06"
"coloradosprings","39.9123540830604","8.72852433531079e-06"
"coloradosprings","39.9123540830604","7.84915300755529e-06"
"coloradosprings","39.9123540830604","5.0100179578294e-06"
"coloradosprings","39.9123540830604","5.62913828616729e-06"
"coloradosprings","39.9123540830604","7.80321079218993e-06"
"coloradosprings","39.9123540830604","8.20177956484258e-06"
"coloradosprings","39.9123540830604","6.09048311162042e-06"
"coloradosprings","39.9123540830604","6.52118797006551e-06"
"coloradosprings","39.9123540830604","4.45096884504892e-06"
"coloradosprings","39.9123540830604","4.99482030136278e-06"
"coloradosprings","39.9123540830604","6.90299111738568e-06"
"coloradosprings","39.9123540830604","5.59721684112446e-06"
"coloradosprings","39.9123540830604","7.60988586989697e-06"
"coloradosprings","39.9123540830604","7.99192184786079e-06"
"coloradosprings","39.9123540830604","7.32538319425657e-06"
"coloradosprings","39.9123540830604","5.10582049173536e-06"
"coloradosprings","39.9123540830604","8.83167558640707e-06"
"coloradosprings","39.9123540830604","5.58392548555275e-06"
"coloradosprings","39.9123540830604","6.49807316221995e-06"
"coloradosprings","39.9123540830604","9.48383330978686e-06"
"coloradosprings","39.9123540830604","9.98392533801962e-06"
"coloradosprings","39.9123540830604","5.80075175093953e-06"
