"id","epa_x","epa_y","map_x","map_y"
"1178","3216383","1416326","1048369.563","388844.126"
"1179","3216792","1416051","1047225.866","388183.954"
"6005","3218154","1418093","1048254.846","388473.726"
"6006","3217355","1415311","1047826.304","388587.71"
"6008","3216359","1417417","1048342.436","388825.661"
"6009","3216179","1416216","1047970.712","387727.304"
"6011","3217059","1417217","1047147.156","389432.556"
"6013","3217240","1417529","1047017.739","390157.87"
"6014","3216725","1416641","1048767.723","387970.816"
"6015","3216428","1416606","1047444.361","388916.026"
"6018","3217170","1416168","1047640.757","388662.757"
"6035","3216953","1418222","1046971.818","388065.383"
"6056","3217094","1418373","1047898.346","387756.178"
"6057","3217233","1418021","1047116.668","389370.593"
"6058","3217855","1418210","1047386.537","388822.532"
"6059","3214123","1419723","1048912.321","387916.974"
"6060","3217537","1418150","1046994.389","388830.846"
"6061","3217707","1418154","1048146.247","389714.958"
"6062","3218375","1417012","1046878.56","388021.344"
"6063","3218269","1417302","1048198.739","388339.625"
"6064","3209929","1420195","1047721.173","388950.055"
"6065","3209855","1419967","1047209.919","388171.403"
"6066","3210276","1419627","1048883.676","387918.34"
"6067","3211085","1419668","1047218.884","388171.325"
"6068","3210455","1419895","1047894.04","387854.117"
"6069","3210442","1419348","1047362.989","387857.055"
"6070","3210466","1419367","1047841.479","390196.596"
"6071","3210780","1419564","1048839.55","387918.484"
"6072","3210908","1419345","1047092.223","388199.283"
"6073","3210927","1419307","1047918.685","389831.188"
"6074","3210814","1418881","1047096.726","390128.192"
"6075","3211218","1419095","1047380.562","389896.607"
"6076","3211340","1419656","1047999.337","388920.896"
"6077","3211314","1419262","1047997.684","388934.208"
"6083","3213688","1419723","1047029.905","387752.726"
"6084","3213269","1419406","1047459.955","388462.787"
"6085","3212767","1419045","1048042.648","388942.959"
"6086","3211694","1418601","1048302.393","387596.292"
"6087","3211568","1418166","1047848.442","390202.634"
"6088","3211987","1417773","1049036.064","388564.559"
"6089","3212390","1417924","1048216.949","388707.292"
"6090","3212947","1417651","1047822.008","388066.899"
"6091","3213292","1417681","1047379.221","388058.004"
"6092","3212164","1418383","1048173.375","388341.729"
"6093","3212767","1418549","1047901.579","389246.429"
"6094","3213312","1418237","1047911.47","389590.173"
"6095","3212798","1418358","1048482.513","388786.951"
