"final_triangle_info","triangle_population_info","triangle_area"
"germantown","93.088726484848","3.15515717375092e-06"
"germantown","93.088726484848","2.43104477704037e-06"
"clarksburg","11.1898520189322","4.02084151573945e-06"
"germantown","93.088726484848","4.35269794252235e-06"
NA,"20.1292928263819",NA
"germantown","93.088726484848","2.98234772344586e-06"
"germantown","93.088726484848","3.00309056910919e-06"
"germantown","93.088726484848","2.50661378231598e-06"
"germantown","93.088726484848","2.52487734542228e-06"
NA,"20.1292928263819",NA
NA,"20.1292928263819",NA
NA,"20.1292928263819",NA
NA,"20.1292928263819",NA
NA,"20.1292928263819",NA
"germantown","93.088726484848","3.11796338792192e-06"
"germantown","93.088726484848","4.3849395297002e-06"
NA,"20.1292928263819",NA
NA,"20.1292928263819",NA
"clarksburg","11.1898520189322","3.12595057039289e-06"
NA,"20.1292928263819",NA
NA,"20.1292928263819",NA
"clarksburg","11.1898520189322","2.22439575736644e-06"
"clarksburg","11.1898520189322","4.40102212451166e-06"
NA,"20.1292928263819",NA
NA,"20.1292928263819",NA
NA,"20.1292928263819",NA
NA,"20.1292928263819",NA
"germantown","93.088726484848","4.03947251470527e-06"
NA,"20.1292928263819",NA
"germantown","93.088726484848","3.43699684890453e-06"
"germantown","93.088726484848","2.33875834965147e-06"
NA,"20.1292928263819",NA
"clarksburg","11.1898520189322","2.38194297708105e-06"
"germantown","93.088726484848","3.00710507872282e-06"
"germantown","93.088726484848","2.23208280658582e-06"
"germantown","93.088726484848","1.9205835997127e-06"
"germantown","93.088726484848","2.78448442259105e-06"
"germantown","93.088726484848","2.26194515562383e-06"
"germantown","93.088726484848","2.62323646893492e-06"
"germantown","93.088726484848","1.9205835997127e-06"
"germantown","93.088726484848","2.43413433054229e-06"
"germantown","93.088726484848","4.77572029922158e-06"
"germantown","93.088726484848","2.8607428248506e-06"
"germantown","93.088726484848","3.05661797028733e-06"
"germantown","93.088726484848","4.30078034696635e-06"
"germantown","93.088726484848","2.63289257418364e-06"
"germantown","93.088726484848","3.72325484931935e-06"
NA,"20.1292928263819",NA
"clarksburg","11.1898520189322","2.33447190112201e-06"
NA,"20.1292928263819",NA
"clarksburg","11.1898520189322","2.33808805205626e-06"
NA,"20.1292928263819",NA
NA,"20.1292928263819",NA
"clarksburg","11.1898520189322","2.30595924222143e-06"
"clarksburg","11.1898520189322","2.33994887821609e-06"
"clarksburg","11.1898520189322","3.51699145539897e-06"
"clarksburg","11.1898520189322","3.17360536428168e-06"
NA,"20.1292928263819",NA
NA,"20.1292928263819",NA
NA,"20.1292928263819",NA
NA,"20.1292928263819",NA
NA,"20.1292928263819",NA
NA,"20.1292928263819",NA
NA,"20.1292928263819",NA
"damascus","17.7436969409099","2.84774432657287e-06"
"damascus","17.7436969409099","2.87451075564604e-06"
"damascus","17.7436969409099","2.28763747145422e-06"
"damascus","17.7436969409099","1.99256646737922e-06"
"damascus","17.7436969409099","2.7143832994625e-06"
"damascus","17.7436969409099","2.76251466857502e-06"
"damascus","17.7436969409099","3.78803088096902e-06"
NA,"20.1292928263819",NA
"damascus","17.7436969409099","4.84955944557441e-06"
"damascus","17.7436969409099","2.62244611803908e-06"
NA,"20.1292928263819",NA
"damascus","17.7436969409099","2.23378629016224e-06"
"damascus","17.7436969409099","3.58426950697321e-06"
"damascus","17.7436969409099","2.76294485956896e-06"
"clarksburg","11.1898520189322","3.24405846185982e-06"
"damascus","17.7436969409099","3.49281708622584e-06"
"clarksburg","11.1898520189322","2.17207707464695e-06"
"clarksburg","11.1898520189322","3.05192679661559e-06"
"clarksburg","11.1898520189322","2.37434323935304e-06"
"clarksburg","11.1898520189322","2.65511243924266e-06"
"clarksburg","11.1898520189322","3.39589860232081e-06"
"clarksburg","11.1898520189322","2.29695342568448e-06"
"clarksburg","11.1898520189322","3.15948909701547e-06"
"clarksburg","11.1898520189322","4.52986751042772e-06"
"clarksburg","11.1898520189322","1.74928209162317e-06"
"clarksburg","11.1898520189322","3.18579986924306e-06"
"clarksburg","11.1898520189322","2.43263639276847e-06"
"clarksburg","11.1898520189322","4.45625846623443e-06"
"clarksburg","11.1898520189322","2.44800139626022e-06"
"clarksburg","11.1898520189322","3.70554516848642e-06"
"clarksburg","11.1898520189322","2.21460049942834e-06"
"clarksburg","11.1898520189322","2.39831570070237e-06"
"clarksburg","11.1898520189322","4.55113513453398e-06"
"clarksburg","11.1898520189322","2.99456041830126e-06"
"clarksburg","11.1898520189322","2.4889250198612e-06"
"clarksburg","11.1898520189322","4.05229639000027e-06"
"clarksburg","11.1898520189322","2.59777152677998e-06"
"clarksburg","11.1898520189322","3.75012496078853e-06"
"clarksburg","11.1898520189322","4.2579204091453e-06"
"clarksburg","11.1898520189322","2.00251542992191e-06"
"clarksburg","11.1898520189322","3.83623864763649e-06"
"clarksburg","11.1898520189322","3.6540786823025e-06"
"clarksburg","11.1898520189322","4.50755851488793e-06"
"clarksburg","11.1898520189322","3.07199661619961e-06"
"clarksburg","11.1898520189322","2.40555709751789e-06"
"clarksburg","11.1898520189322","4.30355612479616e-06"
"clarksburg","11.1898520189322","2.39090513787232e-06"
"clarksburg","11.1898520189322","3.50912159774452e-06"
"clarksburg","11.1898520189322","3.83106998924632e-06"
"clarksburg","11.1898520189322","3.94456765206996e-06"
"clarksburg","11.1898520189322","4.64329787064344e-06"
"clarksburg","11.1898520189322","2.72824763669632e-06"
"clarksburg","11.1898520189322","3.56578493665438e-06"
"clarksburg","11.1898520189322","4.34610774391331e-06"
"clarksburg","11.1898520189322","4.01838678953936e-06"
"clarksburg","11.1898520189322","2.71886528935283e-06"
NA,"20.1292928263819",NA
"clarksburg","11.1898520189322","3.20167055178899e-06"
"clarksburg","11.1898520189322","2.9837046895409e-06"
"clarksburg","11.1898520189322","2.49379536398919e-06"
"clarksburg","11.1898520189322","2.92508229904342e-06"
NA,"20.1292928263819",NA
"clarksburg","11.1898520189322","4.12316694564652e-06"
"clarksburg","11.1898520189322","2.55379109148635e-06"
"clarksburg","11.1898520189322","3.5381972338655e-06"
"clarksburg","11.1898520189322","2.30492059927201e-06"
"clarksburg","11.1898520189322","2.43197155214148e-06"
"clarksburg","11.1898520189322","2.08568781090435e-06"
"clarksburg","11.1898520189322","4.45936348114628e-06"
"clarksburg","11.1898520189322","2.20341917156475e-06"
"clarksburg","11.1898520189322","3.09011556964833e-06"
"clarksburg","11.1898520189322","3.09978804580169e-06"
"clarksburg","11.1898520189322","2.09641621040646e-06"
"clarksburg","11.1898520189322","3.18005641020136e-06"
"clarksburg","11.1898520189322","4.90794081997592e-06"
"clarksburg","11.1898520189322","2.8349395506666e-06"
"clarksburg","11.1898520189322","4.02582281822106e-06"
"clarksburg","11.1898520189322","3.17773719871184e-06"
"clarksburg","11.1898520189322","2.8949552870472e-06"
"clarksburg","11.1898520189322","2.75204729405232e-06"
"clarksburg","11.1898520189322","3.0217697712942e-06"
"clarksburg","11.1898520189322","3.05367120745359e-06"
"clarksburg","11.1898520189322","2.69702013611095e-06"
"clarksburg","11.1898520189322","2.82685869024135e-06"
"clarksburg","11.1898520189322","3.8786674849689e-06"
"clarksburg","11.1898520189322","2.89133913611295e-06"
"clarksburg","11.1898520189322","3.249175279052e-06"
"clarksburg","11.1898520189322","3.30220063915476e-06"
"clarksburg","11.1898520189322","3.16642490361119e-06"
"clarksburg","11.1898520189322","2.50322955253068e-06"
"clarksburg","11.1898520189322","3.76520893041743e-06"
"clarksburg","11.1898520189322","4.39467203250388e-06"
"clarksburg","11.1898520189322","4.94461892230902e-06"
"clarksburg","11.1898520189322","4.10412121709669e-06"
"clarksburg","11.1898520189322","3.06183846987551e-06"
"clarksburg","11.1898520189322","2.56680505117401e-06"
"clarksburg","11.1898520189322","2.96346115646884e-06"
"clarksburg","11.1898520189322","2.88471528619993e-06"
"clarksburg","11.1898520189322","2.71337466983823e-06"
"clarksburg","11.1898520189322","3.22213963954709e-06"
"clarksburg","11.1898520189322","2.51322217081906e-06"
"clarksburg","11.1898520189322","4.27160375693347e-06"
"clarksburg","11.1898520189322","3.34686956193764e-06"
"clarksburg","11.1898520189322","4.71591556561179e-06"
"clarksburg","11.1898520189322","2.15816908166744e-06"
"clarksburg","11.1898520189322","3.4059994504787e-06"
"clarksburg","11.1898520189322","2.62459707300877e-06"
"clarksburg","11.1898520189322","3.70634916180279e-06"
"clarksburg","11.1898520189322","2.62450521404389e-06"
"clarksburg","11.1898520189322","4.15914746554336e-06"
"clarksburg","11.1898520189322","4.28286330134142e-06"
"clarksburg","11.1898520189322","3.44605905411299e-06"
"clarksburg","11.1898520189322","3.58471697836649e-06"
"clarksburg","11.1898520189322","2.42426267504925e-06"
"clarksburg","11.1898520189322","3.84262420993764e-06"
"clarksburg","11.1898520189322","3.25474775308976e-06"
"clarksburg","11.1898520189322","2.60943124885671e-06"
"clarksburg","11.1898520189322","2.90998377749929e-06"
"clarksburg","11.1898520189322","3.0120727387839e-06"
"clarksburg","11.1898520189322","3.06686706608161e-06"
"clarksburg","11.1898520189322","4.06668550567701e-06"
"clarksburg","11.1898520189322","3.51838843926089e-06"
"clarksburg","11.1898520189322","2.38611846725689e-06"
"clarksburg","11.1898520189322","3.00963074550964e-06"
"clarksburg","11.1898520189322","3.9339174691122e-06"
"clarksburg","11.1898520189322","2.94227356789634e-06"
"clarksburg","11.1898520189322","3.64802417607279e-06"
"clarksburg","11.1898520189322","3.48237426806008e-06"
"clarksburg","11.1898520189322","3.62395985575859e-06"
