  Page 1                                    Thu Aug  2 22:27:11 2018

  ******************************************************************
  *                           E P A N E T                          *
  *                   Hydraulic and Water Quality                  *
  *                   Analysis for Pipe Networks                   *
  *                         Version 2.00.12                        *
  ******************************************************************
  
  Scenario: Average Day  
  Date: 8/16/2016 4:09:48 PM  
   
      Input Data File ................... ../Data/final_input.inp
      Number of Junctions................ 299
      Number of Reservoirs............... 1
      Number of Tanks ................... 0
      Number of Pipes ................... 316
      Number of Pumps ................... 0
      Number of Valves .................. 2
      Headloss Formula .................. Hazen-Williams
      Hydraulic Timestep ................ 15.00 min
      Hydraulic Accuracy ................ 0.001000
      Status Check Frequency ............ 3
      Maximum Trials Checked ............ 10
      Damping Limit Threshold ........... 0.000000
      Maximum Trials .................... 40
      Quality Analysis .................. None
      Specific Gravity .................. 1.00
      Relative Kinematic Viscosity ...... 1.00
      Relative Chemical Diffusivity ..... 1.00
      Demand Multiplier ................. 1.00
      Total Duration .................... 30.00 min
      Reporting Criteria:
         All Nodes
         All Links
   
   
  Hydraulic Status:
  -----------------------------------------------------------------------
     0:00:00: Balanced after 8 trials
     0:00:00: Reservoir 329219 is emptying
   
     0:15:00: Balanced after 11 trials
     0:15:00: PRV 294718 changed from active to open
   
     0:30:00: Balanced after 1 trials
   
   
  Node Results at 0:00:00 hrs:
  ----------------------------------------------
                     Demand      Head  Pressure
  Node                  gpm        ft       psi
  ----------------------------------------------
  112122               2.43    300.28     93.55
  112127               0.59    300.29     86.75
  112131               0.22    300.30     68.91
  112133               0.21    300.30     68.82
  112151               0.75    300.26     97.84
  112162               0.00    300.28     86.60
  112164               0.15    300.26     98.71
  112169               0.00    300.30     66.45
  112184               0.00    300.26     93.57
  112189               0.86    300.29     68.51
  112195               0.23    300.28     82.70
  112209               0.00    300.26     91.60
  112221               0.88    300.26    103.03
  112227               0.06    300.26    103.90
  112250               0.40    300.28     81.42
  112251               0.63    300.26     96.98
  112258               1.45    300.26     92.66
  112273               0.35    300.26    102.87
  112285               0.09    300.26     89.20
  112300               0.64    300.29     65.05
  112307               0.00    300.26    101.30
  112325               0.49    300.26    104.76
  112327               0.73    300.28     66.80
  112338               0.84    300.28     66.74
  112340               0.99    300.28     67.26
  112354               0.58    300.28     71.90
  112364               0.68    300.28     69.40
  112368               0.16    300.26     97.03
  112379               0.11    300.28     90.58
  112382               1.74    300.25     92.02
  112395               0.50    300.27     72.53
  112400               0.00    300.28     90.54
  112412               0.68    300.28     89.20
  112415               1.08    300.27     73.63
  112422               0.20    300.26     95.27
  112424               0.43    300.27     74.93
  112427               0.00    300.26     98.21
  112431               1.19    300.26     98.05
  112432               0.28    300.26    100.55
  112435               0.18    300.28     80.01
  112438               0.07    300.28     67.11
  112445               0.65    300.28     88.37
  112447               0.31    300.27     81.78
  112457               0.10    300.28     64.38
  112469               0.25    300.28     87.47
  112473               0.14    300.26     88.78
  112510               0.44    300.27     84.29
  112528               0.26    300.27     92.51
  112550               0.65    300.28     79.14
  112553               0.85    300.28     77.09
  112558               0.31    300.28     78.99
  112559               0.49    300.28     77.09
  112565               0.64    300.26     99.57
  112570               0.16    300.27     86.29
  112576               0.15    300.27     80.88
  112588               0.82    300.26     97.37
  112613               0.68    300.26    103.41
  112615               0.69    300.26     91.25
  112617               0.23    300.27     97.28
  112637               0.00    300.26    120.33
  112641               0.00    300.26    120.33
  112642               0.00    300.26    120.33
  112661               1.01    300.26     94.18
  112665               1.44    300.25     75.75
  112680               0.51    300.25     97.84
  112695               0.53    300.25    102.42
  112697               0.52    300.26     82.72
  112703               0.82    300.26     99.14
  112724               0.21    300.25     99.57
  112725               0.55    300.25     99.57
  112732               0.35    300.25     99.65
  112736               0.36    300.26     87.77
  112747               1.12    300.26     96.51
  112779               0.57    300.25    109.77
  112783               0.06    300.25     92.06
  112796               0.58    300.25    105.38
  112814               0.52    300.26     93.30
  112817               0.34    300.26     87.46
  112830               0.82    300.26     91.27
  112852               1.05    300.26     90.92
  112925               0.72    300.25     81.79
  112963               0.82    300.26     83.60
  112980               0.58    300.26     86.56
  112983               0.93    300.25    100.08
  112988               0.50    300.25     93.39
  113014               0.12    300.26     79.94
  113031               0.52    300.25     98.70
  113062               0.36    300.26     79.65
  113085               0.00    300.26     82.62
  113102               0.32    300.25     94.79
  113115               0.83    300.25     88.29
  113141               0.58    300.25     87.62
  113205               0.63    300.25     96.49
  113213               0.09    300.25     96.51
  113235               1.01    300.25    101.00
  113256               0.97    300.25     90.19
  113276               0.79    300.25    116.83
  113349               0.00    300.25     95.98
  113361               0.44    300.25     80.59
  113363               0.22    300.25     75.11
  113433               0.03    300.25     94.66
  113454               0.63    300.25     92.54
  113487               0.47    300.25     93.98
  125982               0.00    317.00     84.48
  125988               0.21    300.26     97.84
  125990               1.60    300.26    103.98
  125992               0.84    300.28     69.42
  125994               0.56    300.26    104.38
  125998               0.17    300.26     98.79
  126011               0.46    300.25     98.35
  126016               1.72    300.25    111.87
  126024               0.35    300.25     92.40
  136023               0.00    300.29     92.79
  136028               0.59    300.29     68.52
  136051               0.14    300.29     72.65
  136079               0.29    300.26     96.98
  136083               0.31    300.26     89.27
  136090               0.29    300.26     99.36
  136101               1.86    300.28     86.69
  136103               0.58    300.26     99.99
  136121               0.87    300.27     88.23
  136122               0.71    300.28     70.55
  136124               0.38    300.27     97.98
  136138               1.15    300.27     78.82
  136141               0.17    300.27     83.05
  136178               0.89    300.25     95.99
  136188               0.35    300.26     87.46
  136196               1.66    300.26     77.15
  136233               0.67    300.26     82.57
  136254               0.00    300.25    104.55
  297542               0.00    317.00     82.09
  297543               0.00    300.31     74.58
  297549               0.00    316.95     82.40
  297550               0.00    300.36     74.75
  299166               0.00    300.31     74.68
  299481               0.00    316.99     82.50
  303220               0.00    316.63     82.10
  303421               0.00    300.31     74.94
  303665               0.00    316.99     82.36
  304413               0.00    300.69     74.99
  140785-A             0.00    316.99     84.94
  140785-B             0.00    300.31     77.73
  294718-A             0.00    316.33     84.65
  294718-B             0.00    300.86     77.96
  329219            -141.15    317.00      0.00  Reservoir
   
   
  Link Results at 0:00:00 hrs:
  ----------------------------------------------
                       Flow  Velocity  Headloss
  Link                  gpm       fps   /1000ft
  ----------------------------------------------
  143444              -0.00      0.00      0.00
  143912             141.15      0.58      0.18
  144721             141.15      0.58      0.18
  145008               0.00      0.00      0.00
  145028               1.57      0.07      0.04
  145354               0.00      0.00      0.00
  147226            -140.52      0.22      0.02
  148233               1.05      0.05      0.01
  149291               0.32      0.01      0.00
  150009              -1.19      0.01      0.00
  150219              -0.18      0.00      0.00
  150964              -0.00      0.00      0.00
  152494             141.15      0.58      0.18
  152943              13.56      0.02      0.00
  153988               0.00      0.00      0.00
  157992               0.32      0.01      0.00
  158333              -0.00      0.00      0.00
  159184             140.73      0.29      0.03
  159877               0.00      0.00      0.00
  160015               0.10      0.00      0.00
  161931               0.09      0.00      0.00
  162016               0.00      0.00      0.00
  162162              21.82      0.14      0.02
  162650              -0.00      0.00      0.00
  164474               0.00      0.00      0.00
  166868              16.59      0.11      0.01
  167181               3.36      0.02      0.00
  168053              -3.04      0.03      0.00
  169296              10.72      0.07      0.01
  170161               0.76      0.02      0.00
  171658              -1.84      0.08      0.05
  172188               0.94      0.04      0.01
  172659              41.27      0.07      0.00
  173485              -1.85      0.01      0.00
  173495              43.54      0.12      0.01
  173901              -1.23      0.01      0.00
  174109               0.00      0.00      0.00
  174294               1.02      0.01      0.00
  174340               0.04      0.00      0.00
  174548               0.09      0.00      0.00
  174604              -1.71      0.02      0.00
  174676               0.27      0.00      0.00
  174829               0.23      0.00      0.00
  175202               0.00      0.00      0.00
  175473               0.45      0.01      0.00
  176128               0.97      0.04      0.01
  177197               1.06      0.05      0.01
  177579              30.58      0.05      0.00
  177679               0.69      0.03      0.00
  178318              -3.75      0.02      0.00
  178673               0.00      0.00      0.00
  178851               0.00      0.00      0.00
  179839               4.00      0.05      0.00
  180099               1.06      0.05      0.01
  181243               2.46      0.02      0.00
  182760              10.62      0.07      0.01
  183161               0.00      0.00      0.00
  183593              -1.63      0.00      0.00
